新闻,#genre#
CGTN(CN),http://iptvpro.pw:35451//live/3975151751/663648863/579.ts
TVBNEWS(美),http://iptvpro.pw:35451//live/3975151751/663648863/444.ts
美国旧金山KTSF-26,http://iptvpro.pw:35451//live/3975151751/663648863/467.ts
加拿大600新闻(加),http://iptvpro.pw:35451//live/3975151751/663648863/449.ts
TVB无线新闻海外台,http://iptvpro.pw:35451//live/3975151751/663648863/454.ts
东森美洲新闻台,http://iptvpro.pw:35451//live/3975151751/663648863/471.ts
TVB娱乐新闻台(MY),http://iptvpro.pw:35451//live/3975151751/663648863/670.ts
凤凰资讯(MY),http://iptvpro.pw:35451//live/3975151751/663648863/747.ts
Aljazeera(MY),http://iptvpro.pw:35451//live/3975151751/663648863/752.ts
BloombergTV(MY),http://iptvpro.pw:35451//live/3975151751/663648863/756.ts
BBCWorldNews(MY),http://iptvpro.pw:35451//live/3975151751/663648863/751.ts
CGTN(MY),http://iptvpro.pw:35451//live/3975151751/663648863/760.ts
CNA亚洲新闻(MY),http://iptvpro.pw:35451//live/3975151751/663648863/754.ts
CNN(MY),http://iptvpro.pw:35451//live/3975151751/663648863/750.ts
CNBC(MY),http://iptvpro.pw:35451//live/3975151751/663648863/755.ts
DWEnglish(MY),http://iptvpro.pw:35451//live/3975151751/663648863/758.ts
France24(MY),http://iptvpro.pw:35451//live/3975151751/663648863/759.ts
SkyNews(MY),http://iptvpro.pw:35451//live/3975151751/663648863/753.ts
ABCAustralia(MY),http://iptvpro.pw:35451//live/3975151751/663648863/757.ts
CNN(JP),http://iptvpro.pw:35451//live/3975151751/663648863/874.ts
日テレNEWS24(JP),http://iptvpro.pw:35451//live/3975151751/663648863/871.ts
BBCワールドニュース(JP),http://iptvpro.pw:35451//live/3975151751/663648863/873.ts
体育,#genre#
FightSportsCH642,http://iptvpro.pw:35451//live/3975151751/663648863/108.ts
Now668(粵)CH668,http://iptvpro.pw:35451//live/3975151751/663648863/112.ts
Now668(國)CH668,http://iptvpro.pw:35451//live/3975151751/663648863/113.ts
TVB88跑馬台,http://iptvpro.pw:35451//live/3975151751/663648863/136.ts
HKC有線18台,http://iptvpro.pw:35451//live/3975151751/663648863/122.ts
HKC有線18台(低延時),http://iptvpro.pw:35451//live/3975151751/663648863/123.ts
TVBmyTVSUPER18台CH018,http://iptvpro.pw:35451//live/3975151751/663648863/51.ts
ELTA爱尔达体育1台540P,http://iptvpro.pw:35451//live/3975151751/663648863/257.ts
ELTA爱尔达体育2台540P,http://iptvpro.pw:35451//live/3975151751/663648863/258.ts
ELTA爱尔达体育3台540P,http://iptvpro.pw:35451//live/3975151751/663648863/259.ts
ELTA爱尔达体育4台540P,http://iptvpro.pw:35451//live/3975151751/663648863/260.ts
ELTA爱尔达体育MAX1台,http://iptvpro.pw:35451//live/3975151751/663648863/261.ts
ELTA爱尔达体育MAX2台,http://iptvpro.pw:35451//live/3975151751/663648863/262.ts
ELTA爱尔达体育MAX3台,http://iptvpro.pw:35451//live/3975151751/663648863/263.ts
ELTA爱尔达体育MAX4台,http://iptvpro.pw:35451//live/3975151751/663648863/264.ts
博斯无限1台,http://iptvpro.pw:35451//live/3975151751/663648863/270.ts
博斯无限2台,http://iptvpro.pw:35451//live/3975151751/663648863/271.ts
博斯网球台,http://iptvpro.pw:35451//live/3975151751/663648863/272.ts
博斯运动1台,http://iptvpro.pw:35451//live/3975151751/663648863/265.ts
博斯运动2台,http://iptvpro.pw:35451//live/3975151751/663648863/266.ts
博斯高球1台,http://iptvpro.pw:35451//live/3975151751/663648863/268.ts
博斯高球2台,http://iptvpro.pw:35451//live/3975151751/663648863/269.ts
博斯魅力台,http://iptvpro.pw:35451//live/3975151751/663648863/267.ts
DAZN1,http://iptvpro.pw:35451//live/3975151751/663648863/273.ts
DAZN2,http://iptvpro.pw:35451//live/3975151751/663648863/274.ts
MOMOTVSports,http://iptvpro.pw:35451//live/3975151751/663648863/336.ts
TRACESportStars,http://iptvpro.pw:35451//live/3975151751/663648863/335.ts
智林体育台,http://iptvpro.pw:35451//live/3975151751/663648863/337.ts
CCTV-51080P(CN),http://iptvpro.pw:35451//live/3975151751/663648863/537.ts
CCTV-5P1080P(CN),http://iptvpro.pw:35451//live/3975151751/663648863/538.ts
五星体育(CN),http://iptvpro.pw:35451//live/3975151751/663648863/526.ts
广东体育频道(CN),http://iptvpro.pw:35451//live/3975151751/663648863/527.ts
纬来体育台,http://iptvpro.pw:35451//live/3975151751/663648863/226.ts
ELTA爱尔达体育1台,http://iptvpro.pw:35451//live/3975151751/663648863/253.ts
ELTA爱尔达体育2台,http://iptvpro.pw:35451//live/3975151751/663648863/254.ts
ELTA爱尔达体育3台,http://iptvpro.pw:35451//live/3975151751/663648863/255.ts
ELTA爱尔达体育4台,http://iptvpro.pw:35451//live/3975151751/663648863/256.ts
纬来体育台H265,http://iptvpro.pw:35451//live/3975151751/663648863/424.ts
CCTV-5(CN),http://iptvpro.pw:35451//live/3975151751/663648863/479.ts
CCTV-5P(CN),http://iptvpro.pw:35451//live/3975151751/663648863/492.ts
HubSports1(SG),http://iptvpro.pw:35451//live/3975151751/663648863/633.ts
HubSports2(SG),http://iptvpro.pw:35451//live/3975151751/663648863/634.ts
HubSports3(SG),http://iptvpro.pw:35451//live/3975151751/663648863/635.ts
HubSports4(SG),http://iptvpro.pw:35451//live/3975151751/663648863/636.ts
HubSports5(SG),http://iptvpro.pw:35451//live/3975151751/663648863/637.ts
HubPremier1(SG),http://iptvpro.pw:35451//live/3975151751/663648863/638.ts
HubPremier2(SG),http://iptvpro.pw:35451//live/3975151751/663648863/639.ts
HubPremier3(SG),http://iptvpro.pw:35451//live/3975151751/663648863/640.ts
HubPremier4(SG),http://iptvpro.pw:35451//live/3975151751/663648863/641.ts
HubPremier5(SG),http://iptvpro.pw:35451//live/3975151751/663648863/642.ts
HubPremier6(SG),http://iptvpro.pw:35451//live/3975151751/663648863/643.ts
HubPremier7(SG),http://iptvpro.pw:35451//live/3975151751/663648863/644.ts
EUROSPORT(SG),http://iptvpro.pw:35451//live/3975151751/663648863/646.ts
FightSports(SG),http://iptvpro.pw:35451//live/3975151751/663648863/645.ts
AstroGrandstand(MY),http://iptvpro.pw:35451//live/3975151751/663648863/687.ts
AstroBadminton(MY),http://iptvpro.pw:35451//live/3975151751/663648863/688.ts
AstroSportsPlus(MY),http://iptvpro.pw:35451//live/3975151751/663648863/686.ts
AstroCricket(MY),http://iptvpro.pw:35451//live/3975151751/663648863/703.ts
AstroFootball(MY),http://iptvpro.pw:35451//live/3975151751/663648863/689.ts
AstroArena1(MY),http://iptvpro.pw:35451//live/3975151751/663648863/690.ts
AstroArena2(MY),http://iptvpro.pw:35451//live/3975151751/663648863/691.ts
AstroArenaBola1(MY),http://iptvpro.pw:35451//live/3975151751/663648863/692.ts
AstroArenaBola2(MY),http://iptvpro.pw:35451//live/3975151751/663648863/693.ts
beINSports1(MY),http://iptvpro.pw:35451//live/3975151751/663648863/697.ts
beINSports2(MY),http://iptvpro.pw:35451//live/3975151751/663648863/698.ts
bEINSports3(MY),http://iptvpro.pw:35451//live/3975151751/663648863/699.ts
PremierSports(MY),http://iptvpro.pw:35451//live/3975151751/663648863/702.ts
PremierLeague1(MY),http://iptvpro.pw:35451//live/3975151751/663648863/694.ts
PremierLeague2(MY),http://iptvpro.pw:35451//live/3975151751/663648863/695.ts
WWENetwork(MY),http://iptvpro.pw:35451//live/3975151751/663648863/700.ts
SPOTV(MY),http://iptvpro.pw:35451//live/3975151751/663648863/704.ts
SPOTV2(MY),http://iptvpro.pw:35451//live/3975151751/663648863/705.ts
WSport(MY),http://iptvpro.pw:35451//live/3975151751/663648863/696.ts
GolfChannel(MY),http://iptvpro.pw:35451//live/3975151751/663648863/701.ts
JSPORTS1BS242(JP),http://iptvpro.pw:35451//live/3975151751/663648863/801.ts
JSPORTS2BS243(JP),http://iptvpro.pw:35451//live/3975151751/663648863/802.ts
JSPORTS3BS244(JP),http://iptvpro.pw:35451//live/3975151751/663648863/803.ts
JSPORTS4BS245(JP),http://iptvpro.pw:35451//live/3975151751/663648863/804.ts
ゴルフネットワークGolfNetwork(JP),http://iptvpro.pw:35451//live/3975151751/663648863/839.ts
GAORASPORTS(JP),http://iptvpro.pw:35451//live/3975151751/663648863/837.ts
BS釣りビジョンTsuriVision(JP),http://iptvpro.pw:35451//live/3975151751/663648863/816.ts
KBSNSports(KR),http://iptvpro.pw:35451//live/3975151751/663648863/937.ts
MBCSports(KR),http://iptvpro.pw:35451//live/3975151751/663648863/935.ts
SBSSports(KR),http://iptvpro.pw:35451//live/3975151751/663648863/932.ts
SBSGolf(KR),http://iptvpro.pw:35451//live/3975151751/663648863/931.ts
JTBCGolf(KR),http://iptvpro.pw:35451//live/3975151751/663648863/933.ts
JTBCGolf&Sports(KR),http://iptvpro.pw:35451//live/3975151751/663648863/934.ts
SPOTV(KR),http://iptvpro.pw:35451//live/3975151751/663648863/939.ts
SPOTV2(KR),http://iptvpro.pw:35451//live/3975151751/663648863/936.ts
SPOTVGolf&HEALTH(KR),http://iptvpro.pw:35451//live/3975151751/663648863/930.ts
SPOTVPrime(KR),http://iptvpro.pw:35451//live/3975151751/663648863/940.ts
SPOTVPrime2(KR),http://iptvpro.pw:35451//live/3975151751/663648863/941.ts
SKYSports(KR),http://iptvpro.pw:35451//live/3975151751/663648863/938.ts
NowSports1CH631,http://iptvpro.pw:35451//live/3975151751/663648863/97.ts
NowSports2CH632,http://iptvpro.pw:35451//live/3975151751/663648863/98.ts
NowSports3CH633,http://iptvpro.pw:35451//live/3975151751/663648863/99.ts
NowSports4CH634,http://iptvpro.pw:35451//live/3975151751/663648863/100.ts
NowSports5CH635,http://iptvpro.pw:35451//live/3975151751/663648863/101.ts
NowSports6CH636,http://iptvpro.pw:35451//live/3975151751/663648863/102.ts
NowSports7CH637,http://iptvpro.pw:35451//live/3975151751/663648863/103.ts
Now英超PremierLeague1台CH621,http://iptvpro.pw:35451//live/3975151751/663648863/89.ts
Now英超PremierLeague1台(EN)CH621,http://iptvpro.pw:35451//live/3975151751/663648863/90.ts
Now英超PremierLeague2台CH622,http://iptvpro.pw:35451//live/3975151751/663648863/91.ts
Now英超PremierLeague3台CH623,http://iptvpro.pw:35451//live/3975151751/663648863/92.ts
Now英超PremierLeague4台CH624,http://iptvpro.pw:35451//live/3975151751/663648863/93.ts
Now英超PremierLeague5台CH625,http://iptvpro.pw:35451//live/3975151751/663648863/94.ts
Now英超PremierLeague6台CH626,http://iptvpro.pw:35451//live/3975151751/663648863/95.ts
NowSportsCH630,http://iptvpro.pw:35451//live/3975151751/663648863/96.ts
曼聯電視MUTVCH640,http://iptvpro.pw:35451//live/3975151751/663648863/107.ts
HKNBATV,http://iptvpro.pw:35451//live/3975151751/663648863/65070.ts
NowSportsNBACH641,http://iptvpro.pw:35451//live/3975151751/663648863/65073.ts
beINSPORTS1CH638,http://iptvpro.pw:35451//live/3975151751/663648863/104.ts
beINSPORTS2CH639,http://iptvpro.pw:35451//live/3975151751/663648863/105.ts
beINSPORTS3CH643,http://iptvpro.pw:35451//live/3975151751/663648863/106.ts
NowSports651英足總CH651,http://iptvpro.pw:35451//live/3975151751/663648863/110.ts
NowSports652英足總CH652,http://iptvpro.pw:35451//live/3975151751/663648863/111.ts
myTVSUPER直播足球2台CH901,http://iptvpro.pw:35451//live/3975151751/663648863/137.ts
myTVSUPER直播足球3台CH902,http://iptvpro.pw:35451//live/3975151751/663648863/138.ts
myTVSUPER直播足球4台CH903,http://iptvpro.pw:35451//live/3975151751/663648863/139.ts
myTVSUPER直播足球5台CH904,http://iptvpro.pw:35451//live/3975151751/663648863/140.ts
myTVSUPER直播足球6台CH905,http://iptvpro.pw:35451//live/3975151751/663648863/141.ts
USESPN,http://iptvpro.pw:35451//live/3975151751/663648863/1218.ts
USESPN2,http://iptvpro.pw:35451//live/3975151751/663648863/1237.ts
USESPNNews,http://iptvpro.pw:35451//live/3975151751/663648863/1279.ts
USESPNU,http://iptvpro.pw:35451//live/3975151751/663648863/1196.ts
USFoxSports1,http://iptvpro.pw:35451//live/3975151751/663648863/1227.ts
USFoxSports2,http://iptvpro.pw:35451//live/3975151751/663648863/1226.ts
USNBCSports,http://iptvpro.pw:35451//live/3975151751/663648863/1190.ts
USTennis,http://iptvpro.pw:35451//live/3975151751/663648863/1266.ts
USMLBNetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1406.ts
USMLBStrikeZone,http://iptvpro.pw:35451//live/3975151751/663648863/1484.ts
USFoxSoccerPlus,http://iptvpro.pw:35451//live/3975151751/663648863/1187.ts
USBeinSports,http://iptvpro.pw:35451//live/3975151751/663648863/1259.ts
USBeinSportsES,http://iptvpro.pw:35451//live/3975151751/663648863/1234.ts
USNBATV,http://iptvpro.pw:35451//live/3975151751/663648863/1219.ts
USNHLNetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1232.ts
USOutdoor,http://iptvpro.pw:35451//live/3975151751/663648863/1239.ts
USNFLRedZone,http://iptvpro.pw:35451//live/3975151751/663648863/1299.ts
USSecNetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1240.ts
USSportsMan,http://iptvpro.pw:35451//live/3975151751/663648863/1233.ts
USCBSSports,http://iptvpro.pw:35451//live/3975151751/663648863/1168.ts
USBTN,http://iptvpro.pw:35451//live/3975151751/663648863/1202.ts
USNBCSPBAY,http://iptvpro.pw:35451//live/3975151751/663648863/1253.ts
USFishingNetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1255.ts
USWillow,http://iptvpro.pw:35451//live/3975151751/663648863/1270.ts
USNESN,http://iptvpro.pw:35451//live/3975151751/663648863/1171.ts
USUFCPass,http://iptvpro.pw:35451//live/3975151751/663648863/1170.ts
USBoxingppv,http://iptvpro.pw:35451//live/3975151751/663648863/1252.ts
USWWENetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1169.ts
USNFLSundayTicket1,http://iptvpro.pw:35451//live/3975151751/663648863/1692.ts
USNFLSundayTicket2,http://iptvpro.pw:35451//live/3975151751/663648863/1693.ts
USNFLSundayTicket3,http://iptvpro.pw:35451//live/3975151751/663648863/1694.ts
USNFLSundayTicket4,http://iptvpro.pw:35451//live/3975151751/663648863/1695.ts
USNFLSundayTicket5,http://iptvpro.pw:35451//live/3975151751/663648863/1696.ts
USNFLSundayTicket6,http://iptvpro.pw:35451//live/3975151751/663648863/1697.ts
USNFLSundayTicket7,http://iptvpro.pw:35451//live/3975151751/663648863/1698.ts
USNFLSundayTicket8,http://iptvpro.pw:35451//live/3975151751/663648863/1699.ts
USNFLSundayTicket9,http://iptvpro.pw:35451//live/3975151751/663648863/1700.ts
USNFLSundayTicket10,http://iptvpro.pw:35451//live/3975151751/663648863/1701.ts
USNFLSundayTicket11,http://iptvpro.pw:35451//live/3975151751/663648863/1702.ts
USNFLSundayTicket12,http://iptvpro.pw:35451//live/3975151751/663648863/1703.ts
USTNT,http://iptvpro.pw:35451//live/3975151751/663648863/1220.ts
NBALeaguePass1,http://iptvpro.pw:35451//live/3975151751/663648863/65077.ts
NBALeaguePass2,http://iptvpro.pw:35451//live/3975151751/663648863/65078.ts
NBALeaguePass3,http://iptvpro.pw:35451//live/3975151751/663648863/65079.ts
NBALeaguePass4,http://iptvpro.pw:35451//live/3975151751/663648863/65080.ts
NBALeaguePass5,http://iptvpro.pw:35451//live/3975151751/663648863/65081.ts
NBALeaguePass6,http://iptvpro.pw:35451//live/3975151751/663648863/65082.ts
NBALeaguePass7,http://iptvpro.pw:35451//live/3975151751/663648863/65083.ts
NBALeaguePass8,http://iptvpro.pw:35451//live/3975151751/663648863/65084.ts
NBALeaguePass9,http://iptvpro.pw:35451//live/3975151751/663648863/65085.ts
NBALeaguePass10,http://iptvpro.pw:35451//live/3975151751/663648863/65086.ts
NHLCentreIce1,http://iptvpro.pw:35451//live/3975151751/663648863/65092.ts
NHLCentreIce2,http://iptvpro.pw:35451//live/3975151751/663648863/65093.ts
NHLCentreIce3,http://iptvpro.pw:35451//live/3975151751/663648863/65094.ts
NHLCentreIce4,http://iptvpro.pw:35451//live/3975151751/663648863/65095.ts
NHLCentreIce5,http://iptvpro.pw:35451//live/3975151751/663648863/65096.ts
NHLCentreIce6,http://iptvpro.pw:35451//live/3975151751/663648863/65097.ts
NHLCentreIce7,http://iptvpro.pw:35451//live/3975151751/663648863/65098.ts
NHLCentreIce8,http://iptvpro.pw:35451//live/3975151751/663648863/65099.ts
NHLCentreIce9,http://iptvpro.pw:35451//live/3975151751/663648863/65100.ts
NHLCentreIce10,http://iptvpro.pw:35451//live/3975151751/663648863/65101.ts
NHLCentreIce11,http://iptvpro.pw:35451//live/3975151751/663648863/65102.ts
NHLCentreIce12,http://iptvpro.pw:35451//live/3975151751/663648863/65103.ts
NHLCentreIce13,http://iptvpro.pw:35451//live/3975151751/663648863/65104.ts
NHLCentreIce14,http://iptvpro.pw:35451//live/3975151751/663648863/65105.ts
CATSN1,http://iptvpro.pw:35451//live/3975151751/663648863/1395.ts
CATSN2,http://iptvpro.pw:35451//live/3975151751/663648863/1396.ts
CATSN3,http://iptvpro.pw:35451//live/3975151751/663648863/1397.ts
CATSN4,http://iptvpro.pw:35451//live/3975151751/663648863/1398.ts
CATSN5,http://iptvpro.pw:35451//live/3975151751/663648863/1399.ts
CASportsnet1,http://iptvpro.pw:35451//live/3975151751/663648863/1443.ts
CASportsnet360,http://iptvpro.pw:35451//live/3975151751/663648863/1444.ts
CASportsnetO,http://iptvpro.pw:35451//live/3975151751/663648863/1445.ts
CASportsnetP,http://iptvpro.pw:35451//live/3975151751/663648863/1446.ts
CASportsnetW,http://iptvpro.pw:35451//live/3975151751/663648863/1447.ts
CASportsnetWorld,http://iptvpro.pw:35451//live/3975151751/663648863/1457.ts
CAFightNetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1317.ts
CABeinsport,http://iptvpro.pw:35451//live/3975151751/663648863/1466.ts
NFLNetwork,http://iptvpro.pw:35451//live/3975151751/663648863/1441.ts
CAGolfChannel,http://iptvpro.pw:35451//live/3975151751/663648863/1421.ts
CANBA,http://iptvpro.pw:35451//live/3975151751/663648863/1410.ts
CARDS,http://iptvpro.pw:35451//live/3975151751/663648863/1475.ts
CARDS2,http://iptvpro.pw:35451//live/3975151751/663648863/1339.ts
CATVASport1,http://iptvpro.pw:35451//live/3975151751/663648863/1471.ts
CATVASport2,http://iptvpro.pw:35451//live/3975151751/663648863/1478.ts
UKSkySportsMainEvent,http://iptvpro.pw:35451//live/3975151751/663648863/1558.ts
UKSkySportsCricket,http://iptvpro.pw:35451//live/3975151751/663648863/1559.ts
UKSkySportsAction,http://iptvpro.pw:35451//live/3975151751/663648863/1560.ts
UKSkySportsGolf,http://iptvpro.pw:35451//live/3975151751/663648863/1561.ts
UKSkySportsPremierLeague,http://iptvpro.pw:35451//live/3975151751/663648863/1562.ts
UKSkySportsFootball,http://iptvpro.pw:35451//live/3975151751/663648863/1568.ts
UKSkySportsArena,http://iptvpro.pw:35451//live/3975151751/663648863/1566.ts
UKSkySportsF1,http://iptvpro.pw:35451//live/3975151751/663648863/1563.ts
UKSkySportsMix,http://iptvpro.pw:35451//live/3975151751/663648863/1565.ts
UKSkySportsNews,http://iptvpro.pw:35451//live/3975151751/663648863/1564.ts
UKSkySportsRacing,http://iptvpro.pw:35451//live/3975151751/663648863/1567.ts
UKTNTSports1,http://iptvpro.pw:35451//live/3975151751/663648863/1554.ts
UKTNTSports2,http://iptvpro.pw:35451//live/3975151751/663648863/1555.ts
UKTNTSports3,http://iptvpro.pw:35451//live/3975151751/663648863/1556.ts
UKEuroSport1,http://iptvpro.pw:35451//live/3975151751/663648863/1512.ts
UKEuroSport2,http://iptvpro.pw:35451//live/3975151751/663648863/1511.ts
香港HK,#genre#
TVB翡翠台JADE,http://iptvpro.pw:35451//live/3975151751/663648863/2.ts
TVBPlus,http://iptvpro.pw:35451//live/3975151751/663648863/4.ts
TVB明珠Pearl,http://iptvpro.pw:35451//live/3975151751/663648863/5.ts
ViuTV,http://iptvpro.pw:35451//live/3975151751/663648863/6.ts
TVB翡翠台JADE4K,http://iptvpro.pw:35451//live/3975151751/663648863/7.ts
TVBPlus4K,http://iptvpro.pw:35451//live/3975151751/663648863/11.ts
TVB明珠台Pearl4K,http://iptvpro.pw:35451//live/3975151751/663648863/10.ts
TVB翡翠台JADE,http://iptvpro.pw:35451//live/3975151751/663648863/12.ts
TVBPlusCH082,http://iptvpro.pw:35451//live/3975151751/663648863/14.ts
TVBPlusCH082(低延時),http://iptvpro.pw:35451//live/3975151751/663648863/15.ts
TVB明珠台PearlCH084,http://iptvpro.pw:35451//live/3975151751/663648863/16.ts
ViuTVSixCH096,http://iptvpro.pw:35451//live/3975151751/663648863/32.ts
ViuTVCH099,http://iptvpro.pw:35451//live/3975151751/663648863/49.ts
鳳凰衛視,http://iptvpro.pw:35451//live/3975151751/663648863/18.ts
鳳凰香港,http://iptvpro.pw:35451//live/3975151751/663648863/19.ts
鳳凰衛視電影台,http://iptvpro.pw:35451//live/3975151751/663648863/20.ts
HOYTV(開電視),http://iptvpro.pw:35451//live/3975151751/663648863/21.ts
RTHK31,http://iptvpro.pw:35451//live/3975151751/663648863/24.ts
RTHK32,http://iptvpro.pw:35451//live/3975151751/663648863/25.ts
RTHK33CCTV1,http://iptvpro.pw:35451//live/3975151751/663648863/26.ts
RTHK34CGTN記錄,http://iptvpro.pw:35451//live/3975151751/663648863/27.ts
RTHK35CGTN,http://iptvpro.pw:35451//live/3975151751/663648863/28.ts
Now直播台CH331,http://iptvpro.pw:35451//live/3975151751/663648863/31.ts
NowViu劇集台CH102,http://iptvpro.pw:35451//live/3975151751/663648863/33.ts
Now華劇台(粵)CH105,http://iptvpro.pw:35451//live/3975151751/663648863/34.ts
Now華劇台(國)CH105,http://iptvpro.pw:35451//live/3975151751/663648863/35.ts
NowJelli紫金CH108,http://iptvpro.pw:35451//live/3975151751/663648863/36.ts
HBOCH115,http://iptvpro.pw:35451//live/3975151751/663648863/37.ts
MOVIEMOVIECH116,http://iptvpro.pw:35451//live/3975151751/663648863/38.ts
CinemaxCH118,http://iptvpro.pw:35451//live/3975151751/663648863/39.ts
Now爆穀星影台CH138,http://iptvpro.pw:35451//live/3975151751/663648863/40.ts
Now爆穀台CH133,http://iptvpro.pw:35451//live/3975151751/663648863/41.ts
美亞電影台(粵)CH201,http://iptvpro.pw:35451//live/3975151751/663648863/42.ts
美亞電影台(國)CH202,http://iptvpro.pw:35451//live/3975151751/663648863/43.ts
中國電影頻道香港版CH204,http://iptvpro.pw:35451//live/3975151751/663648863/44.ts
POPC電影頻道CH206,http://iptvpro.pw:35451//live/3975151751/663648863/45.ts
KIXCH304,http://iptvpro.pw:35451//live/3975151751/663648863/46.ts
LoveNature4KCH403,http://iptvpro.pw:35451//live/3975151751/663648863/69.ts
GlobalTrekerCH407,http://iptvpro.pw:35451//live/3975151751/663648863/70.ts
DreamWorks(粵)CH440,http://iptvpro.pw:35451//live/3975151751/663648863/73.ts
DreamWorks(國)CH440,http://iptvpro.pw:35451//live/3975151751/663648863/74.ts
卡通頻道(粵)CNCH443,http://iptvpro.pw:35451//live/3975151751/663648863/75.ts
卡通頻道(國)CNCH443,http://iptvpro.pw:35451//live/3975151751/663648863/76.ts
BBCCBeebies(粵)CH447,http://iptvpro.pw:35451//live/3975151751/663648863/77.ts
DaVinci達文西頻道CH460,http://iptvpro.pw:35451//live/3975151751/663648863/78.ts
ROCKEntertainmentCH501,http://iptvpro.pw:35451//live/3975151751/663648863/71.ts
ROCKActionCH502,http://iptvpro.pw:35451//live/3975151751/663648863/72.ts
AXNCH503,http://iptvpro.pw:35451//live/3975151751/663648863/79.ts
AnimaxCH504,http://iptvpro.pw:35451//live/3975151751/663648863/80.ts
tvNCH505,http://iptvpro.pw:35451//live/3975151751/663648863/81.ts
FashionBoxCH603,http://iptvpro.pw:35451//live/3975151751/663648863/84.ts
MezzoLiveCH604,http://iptvpro.pw:35451//live/3975151751/663648863/85.ts
鳳凰中文台CH610,http://iptvpro.pw:35451//live/3975151751/663648863/87.ts
鳳凰香港台CH612,http://iptvpro.pw:35451//live/3975151751/663648863/86.ts
TVBSUPER-FREE(粵)CH01,http://iptvpro.pw:35451//live/3975151751/663648863/47.ts
TVBSUPER-FREE(國)CH001,http://iptvpro.pw:35451//live/3975151751/663648863/50.ts
